"","X.1","X","�..Reef.ID","Reef.Name","Ocean","Country","State.Province.Island","City.Town","Year","Date","Depth","Organism.Code","S1","S2","S3","S4","Errors.","What.errors.","Average_bleaching","ClimSST","Temperature_Kelvin","Temperature_Mean","Temperature_Minimum","Temperature_Maximum","Temperature_Kelvin_Standard_Deviation","Windspeed","SSTA","SSTA_Standard_Deviation","SSTA_Mean","SSTA_Minimum","SSTA_Maximum","SSTA_Frequency","SSTA_Frequency_Standard_Deviation","SSTA_FrequencyMax","SSTA_FrequencyMean","SSTA_DHW","SSTA_DHW_Standard_Deviation","SSTA_DHWMax","SSTA_DHWMean","TSA","TSA_Standard_Deviation","TSA_Minimum","TSA_Maximum","TSA_Mean","TSA_Frequency","TSA_Frequency_Standard_Deviation","TSA_FrequencyMax","TSA_FrequencyMean","TSA_DHW","TSA_DHW_Standard_Deviation","TSA_DHWMax","TSA_DHWMean","Region","Diversity","rate_of_SST_change","Longitude.Degrees","Latitude.Degrees","optional","kd490_value","PAR_value"
"5154",5154,10147,"146.48.91E.19.11.90S","Magnetic Island Reefs - Middle Reef (Fringing reef seaward) Site 1","Pacific","Australia","Queensland","Townsville",2009,"23-Jun-09",2,"Bleaching (% of population)",0,0,0,0,TRUE,"did not record fish",0,294.92,295.98,299.21,292.58,306.14,2.94,3,0.45,1.02,0,-3.04,3.59,4,5.96,30,7,5.57,3.91,23.3,2.93,-6.62,2.94,-10.01,3.53,-3.38,0,2.04,9,1,0,2.12,17.68,0.7,"ERG078",403,0.026363636,146.8151667,-19.19833333,TRUE,0.180500000715256,NA
"5155",5155,10149,"146.48.54E.19.11.53S","Magnetic Island Reefs - Middle Reef (Fringing reef seaward) Site 2","Pacific","Australia","Queensland","",2005,"10-Sep-05",0.1,"Bleaching (% of population)",1,1,1,1,TRUE,"did not record fish",1,299.2,297.97,299.21,292.58,306.14,2.94,3,0.98,1.02,0,-3.04,3.59,4,5.96,30,7,5.98,3.91,23.3,2.93,-4.63,2.94,-10.01,3.53,-3.38,0,2.04,9,1,0,2.12,17.68,0.7,"ERG078",403,0.026363636,146.815,-19.19805556,TRUE,0.275000005960464,NA
"5156",5156,10151,"146.48.54E.19.11.53S","Magnetic Island Reefs - Middle Reef (Fringing reef seaward) Site 2","Pacific","Australia","Queensland","",2007,"23-Sep-07",3,"Bleaching (% of population)",0,0,0,0,TRUE,"did not record fish",0,300.07,298.02,299.21,292.58,306.14,2.94,4,0.2,1.02,0,-3.04,3.59,2,5.96,30,7,1.17,3.91,23.3,2.93,-4.58,2.94,-10.01,3.53,-3.38,0,2.04,9,1,0,2.12,17.68,0.7,"ERG078",403,0.026363636,146.815,-19.19805556,TRUE,0.0300904982310379,NA
"5157",5157,10153,"146.48.54E.19.11.53S","Magnetic Island Reefs - Middle Reef (Fringing reef seaward) Site 2","Pacific","Australia","Queensland","",2009,"23-Jun-09",2,"Bleaching (% of population)",0,0,1,0,TRUE,"did not record fish",0.25,294.92,295.98,299.21,292.58,306.14,2.94,3,0.45,1.02,0,-3.04,3.59,4,5.96,30,7,5.57,3.91,23.3,2.93,-6.62,2.94,-10.01,3.53,-3.38,0,2.04,9,1,0,2.12,17.68,0.7,"ERG078",403,0.026363636,146.815,-19.19805556,TRUE,0.180500000715256,NA
"5158",5158,10155,"146.48.54E.19.11.53S2","Magnetic Island Reefs - Middle Reef (Fringing reef seaward) Site 3","Pacific","Australia","Queensland","",2005,"10-Sep-05",0.1,"Bleaching (% of population)",5,2,1,1,TRUE,"did not record fish",2.25,299.2,297.97,299.21,292.58,306.14,2.94,3,0.98,1.02,0,-3.04,3.59,4,5.96,30,7,5.98,3.91,23.3,2.93,-4.63,2.94,-10.01,3.53,-3.38,0,2.04,9,1,0,2.12,17.68,0.7,"ERG078",403,0.026363636,146.815,-19.19805556,TRUE,0.275000005960464,NA
"5159",5159,10157,"146.51E.19.09S","Magnetic Island Reefs - Nelly Bay (Fringing reef leeward) Site 1","Pacific","Australia","Queensland","Magnetic Island",2009,"7-Jul-09",5,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,295.2,296.02,299.09,292.57,306.11,2.92,4,1.08,1.02,0,-3.44,3.72,13,5.73,32,8,6.23,3.68,19.04,3.14,-6.45,2.92,-9.89,3.63,-3.37,5,2.17,11,2,0,1.87,15.84,0.71,"ERG078",403,0.026363636,146.8469444,-19.16916667,TRUE,0.0547636477015512,NA
"5160",5160,10159,"146.30.0E.19.6.0S","Magnetic Island Reefs - Nelly Bay (Fringing reef leeward) Site 2","Pacific","Australia","Queensland","Townsville",2009,"7-Jul-09",5,"Bleaching (% of population)",0,0,0,0,TRUE,"did not record fish",0,295.2,296.02,299.09,292.57,306.11,2.92,4,1.08,1.02,0,-3.44,3.72,13,5.73,32,8,6.23,3.68,19.04,3.14,-6.45,2.92,-9.89,3.63,-3.37,5,2.17,11,2,0,1.87,15.84,0.71,"ERG078",403,0.026363636,146.8469444,-19.16916667,TRUE,0.0547636477015512,NA
"5161",5161,10161,"146.50.27E.19.10.56S","Magnetic Island Reefs - Picnic Reef (Fringing reef leeward) Site 1","Pacific","Australia","Queensland","",2005,"1-Dec-05",5,"Bleaching (% of population)",0,0,0,0,TRUE,"no substrate, did not record fish",0,302.3,302.56,299.09,292.57,306.11,2.92,4,0.99,1.02,0,-3.44,3.72,7,5.73,32,8,8.5,3.68,19.04,3.14,0.09,2.92,-9.89,3.63,-3.37,0,2.17,11,2,0,1.87,15.84,0.71,"ERG078",403,0.026363636,146.8408333,-19.18222222,TRUE,0.0366958093983965,NA
"5162",5162,10163,"153.28.9E.27.0.25S","Marietta Dal - Marietta Dal Reef (Reef flat) Site 1","Pacific","Australia","Queensland","",2009,"5-Jul-09",10,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,293.78,292.32,296.71,291.29,301.67,2.19,8,-2.16,0.73,0,-2.65,2.26,1,4.12,20,4,0,2.17,11.09,1.36,-7.29,2.19,-8.31,2.05,-2.89,0,1.34,6,0,0,0.94,6.13,0.3,"ERG082",181,0.041287878,153.4691667,-27.00694444,TRUE,0.0892800018191338,NA
"5163",5163,10165,"153.28.9E.27.0.25S","Marietta Dal - Marietta Dal Reef (Reef flat) Site 1","Pacific","Australia","Queensland","",2010,"18-Dec-10",10,"Bleaching (% of population)",1,1,0,0,FALSE,"",0.5,299.48,298.54,296.71,291.29,301.67,2.19,6,0.19,0.73,0,-2.65,2.26,12,4.12,20,4,2.27,2.17,11.09,1.36,-1.06,2.19,-8.31,2.05,-2.89,4,1.34,6,0,0,0.94,6.13,0.3,"ERG082",181,0.041287878,153.4691667,-27.00694444,TRUE,0.0583559982478619,NA
"5164",5164,10167,"145.58.32E.16.34.57S","Michaelmas Reef - Breaking Patches (Back reef wall) Site 1","Pacific","Australia","Queensland","",2009,"29-Mar-09",8,"Bleaching (% of population)",1,1,1,1,FALSE,"",1,299.23,301.54,299.53,294.42,306.41,2.13,4,0.57,0.86,0,-4.15,4.88,2,5.19,29,5,2.1,3.01,21.41,2.04,-0.73,2.13,-7.84,4.13,-2.73,1,1.38,5,1,2,1.28,9.81,0.5,"ERG078",403,0.018762626,145.9755556,-16.5825,TRUE,0.0759470015764236,NA
"5165",5165,10169,"145.58.32E.16.34.57S1","Michaelmas Reef - Breaking Patches (Reef flat) Site 1","Pacific","Australia","Queensland","",2009,"28-Mar-09",5,"Bleaching (% of population)",5,2,3,1,FALSE,"",2.75,299.23,301.54,299.53,294.42,306.41,2.13,4,0.57,0.86,0,-4.15,4.88,2,5.19,29,5,2.1,3.01,21.41,2.04,-0.73,2.13,-7.84,4.13,-2.73,1,1.38,5,1,2,1.28,9.81,0.5,"ERG078",403,0.018762626,145.9755556,-16.5825,TRUE,0.0759470015764236,NA
"5166",5166,10171,"145.58.32E.16.34.57S2","Michaelmas Reef - Breaking Patches (Reef flat) Site 2","Pacific","Australia","Queensland","",2009,"5-Apr-09",3,"Bleaching (% of population)",1,1,1,0,TRUE,"did not record fish",0.75,298.89,301.29,299.53,294.42,306.41,2.13,7,0.62,0.86,0,-4.15,4.88,2,5.19,29,5,2.1,3.01,21.41,2.04,-0.98,2.13,-7.84,4.13,-2.73,1,1.38,5,1,2,1.28,9.81,0.5,"ERG078",403,0.018762626,145.9755556,-16.5825,TRUE,0.0570910014212132,NA
"5167",5167,10173,"145.58.34E.16.35.8S","Michaelmas Reef - Long Bommie (Reef flat) Site 1","Pacific","Australia","Queensland","",2009,"4-Apr-09",5,"Bleaching (% of population)",1,0,0,1,TRUE,"did not record fish",0.5,298.89,301.29,299.53,294.42,306.41,2.13,7,0.62,0.86,0,-4.15,4.88,2,5.19,29,5,2.1,3.01,21.41,2.04,-0.98,2.13,-7.84,4.13,-2.73,1,1.38,5,1,2,1.28,9.81,0.5,"ERG078",403,0.018762626,145.9761111,-16.58555556,TRUE,0.0570910014212132,NA
"5168",5168,10175,"146.15.859E.16.47.515S","Milne Reef - Swimming Pool (Back reef slope) Site 1","Pacific","Australia","Queensland","Cairns",2009,"18-Apr-09",5,"Bleaching (% of population)",5,5,15,15,TRUE,"did not record fish",10,298.6,300.71,299.6,294.6,305.23,1.99,6,0.52,0.85,0,-3.28,3.71,2,5.28,28,5,1.25,2.91,16.65,1.83,-1.44,1.99,-7.54,3.07,-2.54,1,1.49,7,1,1.18,1.31,9.81,0.48,"ERG078",403,0.020984848,146.2643056,-16.79191667,TRUE,0.0534840002655983,NA
"5169",5169,10177,"146.12.16E.16.52.21S","Moore Reef - Reef Magic Pontoon (Back reef slope) Site 1","Pacific","Australia","Queensland","",2009,"14-Feb-09",3,"Bleaching (% of population)",1,1,1,1,FALSE,"",1,301.2,303.41,299.59,294.85,305.79,2.09,3,1.23,0.85,0,-3.46,4.23,4,6.09,31,6,4.42,3.16,17.6,2.11,1.11,2.09,-7.44,3.49,-2.7,0,1.66,8,1,0,1.2,8.44,0.42,"ERG078",403,0.020984848,146.2044444,-16.8725,TRUE,0.0916249975562096,NA
"5170",5170,10179,"146.12.16E.16.52.21S","Moore Reef - Reef Magic Pontoon (Back reef slope) Site 1","Pacific","Australia","Queensland","",2010,"6-Mar-10",3,"Bleaching (% of population)",0,1,0,1,TRUE,"did not record fish",0.5,300.33,302.44,299.59,294.85,305.79,2.09,5,0.67,0.85,0,-3.46,4.23,10,6.09,31,6,0,3.16,17.6,2.11,0.14,2.09,-7.44,3.49,-2.7,0,1.66,8,1,0,1.2,8.44,0.42,"ERG078",403,0.020984848,146.2044444,-16.8725,TRUE,0.0594969987869263,NA
"5171",5171,10181,"146.12.28E.16.52.35S","Moore Reef - Reef Magic Pontoon (Back reef wall) Site 1","Pacific","Australia","Queensland","Cairns",2010,"7-Mar-10",7,"Bleaching (% of population)",0,0,0,0,TRUE,"did not record fish",0,300.33,302.44,299.59,294.85,305.79,2.09,5,0.67,0.85,0,-3.46,4.23,10,6.09,31,6,0,3.16,17.6,2.11,0.14,2.09,-7.44,3.49,-2.7,0,1.66,8,1,0,1.2,8.44,0.42,"ERG078",403,0.020984848,146.2046667,-16.8725,TRUE,0.0594969987869263,NA
"5172",5172,10183,"146.12.16E.16.52.21S2","Moore Reef - Reef Magic Pontoon (Back reef wall) Site 2","Pacific","Australia","Queensland","",2009,"15-Feb-09",5,"Bleaching (% of population)",1,0,0,0,FALSE,"",0.25,301.2,303.41,299.59,294.85,305.79,2.09,3,1.23,0.85,0,-3.46,4.23,4,6.09,31,6,4.42,3.16,17.6,2.11,1.11,2.09,-7.44,3.49,-2.7,0,1.66,8,1,0,1.2,8.44,0.42,"ERG078",403,0.020984848,146.2044444,-16.8725,TRUE,0.0916249975562096,NA
"5173",5173,10185,"146.12.16E.16.52.21S2","Moore Reef - Reef Magic Pontoon (Back reef wall) Site 2","Pacific","Australia","Queensland","",2010,"6-Mar-10",5,"Bleaching (% of population)",0,0,0,0,TRUE,"did not record fish",0,300.33,302.44,299.59,294.85,305.79,2.09,5,0.67,0.85,0,-3.46,4.23,10,6.09,31,6,0,3.16,17.6,2.11,0.14,2.09,-7.44,3.49,-2.7,0,1.66,8,1,0,1.2,8.44,0.42,"ERG078",403,0.020984848,146.2044444,-16.8725,TRUE,0.0594969987869263,NA
"5174",5174,10187,"146.12.16E.16.52.21S3","Moore Reef - Reef Magic Pontoon (Back reef wall) Site 3","Pacific","Australia","Queensland","",2010,"6-Mar-10",7,"Bleaching (% of population)",0,0,0,0,TRUE,"did not record fish",0,300.33,302.44,299.59,294.85,305.79,2.09,5,0.67,0.85,0,-3.46,4.23,10,6.09,31,6,0,3.16,17.6,2.11,0.14,2.09,-7.44,3.49,-2.7,0,1.66,8,1,0,1.2,8.44,0.42,"ERG078",403,0.020984848,146.2044444,-16.8725,TRUE,0.0594969987869263,NA
"5175",5175,10189,"146.11.51E.16.53.29S","Moore Reef - Sunlover cruises pontoon (Back reef slope) Site 1","Pacific","Australia","Queensland","",2010,"11-Feb-10",5,"Bleaching (% of population)",0,1,0,0,FALSE,"",0.25,301.2,302.38,299.59,294.85,305.79,2.09,3,0.18,0.85,0,-3.46,4.23,11,6.09,31,6,0,3.16,17.6,2.11,0.08,2.09,-7.44,3.49,-2.7,1,1.66,8,1,0,1.2,8.44,0.42,"ERG078",403,0.020984848,146.1975,-16.89138889,TRUE,0.168332993984222,NA
"5176",5176,10191,"146.11.51E.16.53.29S2","Moore Reef - Sunlover cruises pontoon (Back reef slope) Site 2","Pacific","Australia","Queensland","",2010,"2-Mar-10",7,"Bleaching (% of population)",2,0,0,0,TRUE,"did not record fish",0.5,300.64,302.42,299.59,294.85,305.79,2.09,5,0.48,0.85,0,-3.46,4.23,10,6.09,31,6,0,3.16,17.6,2.11,0.12,2.09,-7.44,3.49,-2.7,0,1.66,8,1,0,1.2,8.44,0.42,"ERG078",403,0.020984848,146.1975,-16.89138889,TRUE,0.140100002288818,NA
"5177",5177,10193,"153.6.7E.26.36.9S","Mudjimba (Old Woman) Island - Mudjimba Island (Fringing reef leeward) Site 1","Pacific","Australia","Queensland","",2007,"3-Dec-07",5,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,298.76,297.21,296.34,291.25,303.44,2.36,5,-0.12,0.76,0,-2.86,3.95,1,4.89,24,4,0,2.62,14.56,1.52,-2.33,2.36,-8.28,3.89,-3.19,0,1.24,5,0,0,1.02,6.84,0.29,"ERG082",181,0.038888888,153.1019444,-26.6025,TRUE,0.0290586834686246,NA
"5178",5178,10195,"153.6.7E.26.36.9S","Mudjimba (Old Woman) Island - Mudjimba Island (Fringing reef leeward) Site 1","Pacific","Australia","Queensland","",2009,"18-Jul-09",5,"Bleaching (% of population)",0,0,1,0,TRUE,"no substrate",0.25,293.39,292.19,296.34,291.25,303.44,2.36,4,-1.07,0.76,0,-2.86,3.95,4,4.89,24,4,0,2.62,14.56,1.52,-7.35,2.36,-8.28,3.89,-3.19,2,1.24,5,0,0,1.02,6.84,0.29,"ERG082",181,0.038888888,153.1019444,-26.6025,TRUE,0.0391025754630982,NA
"5179",5179,10197,"153.6.7E.26.36.9S","Mudjimba (Old Woman) Island - Mudjimba Island (Fringing reef leeward) Site 1","Pacific","Australia","Queensland","",2010,"19-Sep-10",5,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,295.69,295.49,296.34,291.25,303.44,2.36,4,1.38,0.76,0,-2.86,3.95,16,4.89,24,4,11.33,2.62,14.56,1.52,-4.04,2.36,-8.28,3.89,-3.19,0,1.24,5,0,0,1.02,6.84,0.29,"ERG082",181,0.038888888,153.1019444,-26.6025,TRUE,0.0372115604159201,NA
"5180",5180,10199,"153.24.5E.27.28.31S","Myora Reef - Myora Reef (Reef flat) Site 1","Pacific","Australia","Queensland","",2009,"21-Oct-09",2,"Bleaching (% of population)",0,0,0,0,TRUE,"did not record fish",0,262.15,296.09,295.9966667,289.9266667,303.8666667,2.87,7,0.43,0.98,0,-3.143333333,4.553333333,5.666666667,5.693333333,28,7,4.823333333,4.583333333,27.18,2.98,-3.716666667,2.87,-9.873333333,4.05,-3.8,0.333333333,2.126666667,8,1,0,1.9,13.09666667,0.616666667,"ERG082",181,0.041287878,153.4013889,-27.47527778,TRUE,0.036316439193546,NA
"5181",5181,10201,"153.24.5E.27.28.31S","Myora Reef - Myora Reef (Reef flat) Site 1","Pacific","Australia","Queensland","",2010,"27-Oct-10",2,"Bleaching (% of population)",0,0,1,0,FALSE,"",0.25,262.15,295.9866667,295.9966667,289.9266667,303.8666667,2.87,6,-0.07,0.98,0,-3.143333333,4.553333333,11.33333333,5.693333333,28,7,1.236666667,4.583333333,27.18,2.98,-3.82,2.87,-9.873333333,4.05,-3.8,2.666666667,2.126666667,8,1,0,1.9,13.09666667,0.616666667,"ERG082",181,0.041287878,153.4013889,-27.47527778,TRUE,0.0325351558172637,NA
"5182",5182,10203,"153.25.59E.27.49.12S","Narrowneck Reef - Narrowneck Artificial Reef (Fringing reef seaward) Site 1","Pacific","Australia","Queensland","",2007,"2-Oct-07",8,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,295.97,293.39,296.01,291.45,301.79,2.17,5,-2.65,2.17,0,-4.6,5.72,19,3.5,27,19,0,12.22,43.64,10.6,-2.69,2.17,-4.63,5.71,-0.06,17,3.22,25,18,0,12.01,43.3,10.17,"ERG082",181,0.041287878,153.4330556,-27.82,TRUE,0.031677101370943,NA
"5183",5183,10205,"145.59.42E.16.25.16S","Norman Reef - Norman Reef North (Back reef slope) Site 1","Pacific","Australia","Queensland","",2009,"4-Apr-09",5,"Bleaching (% of population)",0,0,0,0,TRUE,"did not record fish",0,299.19,301.19,299.63,294.73,305.7,1.97,7,0.42,0.85,0,-3.18,4.17,5,6.11,32,5,7.53,3.17,20.23,1.97,-0.96,1.97,-7.41,3.54,-2.51,5,1.46,6,1,7.37,1.25,7.36,0.46,"ERG078",403,0.018762626,145.995,-16.42111111,TRUE,0.0533040016889572,NA
"5184",5184,10207,"145.59.42E.16.25.16S2","Norman Reef - Norman Reef North (Back reef slope) Site 2","Pacific","Australia","Queensland","",2009,"5-Apr-09",5,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,299.19,301.19,299.63,294.73,305.7,1.97,7,0.42,0.85,0,-3.18,4.17,5,6.11,32,5,7.53,3.17,20.23,1.97,-0.96,1.97,-7.41,3.54,-2.51,5,1.46,6,1,7.37,1.25,7.36,0.46,"ERG078",403,0.018762626,145.995,-16.42111111,TRUE,0.0533040016889572,NA
"5185",5185,10209,"145.59.53E.16.26.25S","Norman Reef - Norman Reef South (Back reef slope) Site 1","Pacific","Australia","Queensland","Cairns",2010,"3-Mar-10",5,"Bleaching (% of population)",5,10,50,25,FALSE,"",22.5,300.4,303.66,299.63,294.73,305.7,1.97,5,1.95,0.85,0,-3.18,4.17,14,6.11,32,5,5.04,3.17,20.23,1.97,1.51,1.97,-7.41,3.54,-2.51,3,1.46,6,1,3.64,1.25,7.36,0.46,"ERG078",403,0.018762626,145.9921667,-16.4375,TRUE,0.0793510004878044,NA
"5186",5186,10211,"14.51.84E.16.14.50S","Opal Reef - Bashful Bommie (Back reef slope) Site 1","Pacific","Australia","Queensland","Port Douglas",2009,"14-Mar-09",5,"Bleaching (% of population)",1,5,5,1,FALSE,"",3,300.01,301.21,299.6,294.11,306.36,2.07,5,-0.29,0.88,0,-4.04,4.82,2,5.63,26,6,4.59,3.31,18.81,2.17,-1.05,2.07,-8.14,4.09,-2.65,2,1.53,6,1,4.25,1.44,10.14,0.56,"ERG078",403,0.018762626,145.864,-16.24166667,TRUE,0.14224000275135,NA
"5187",5187,10213,"14.51.84E.16.14.50S","Opal Reef - Bashful Bommie (Back reef slope) Site 1","Pacific","Australia","Queensland","Port Douglas",2010,"3-Feb-10",5,"Bleaching (% of population)",2,2,2,2,FALSE,"",2,301.44,302.34,299.6,294.11,306.36,2.07,2,0.11,0.88,0,-4.04,4.82,12,5.63,26,6,0,3.31,18.81,2.17,0.08,2.07,-8.14,4.09,-2.65,2,1.53,6,1,0,1.44,10.14,0.56,"ERG078",403,0.018762626,145.864,-16.24166667,TRUE,0.0430226688472893,NA
"5188",5188,10215,"14.51.84E.16.14.50S","Opal Reef - Bashful Bommie (Back reef slope) Site 1","Pacific","Australia","Queensland","Port Douglas",2009,"21-Mar-09",8,"Bleaching (% of population)",3,1,1,1,FALSE,"",1.5,299.69,301.04,299.6,294.11,306.36,2.07,8,-0.22,0.88,0,-4.04,4.82,2,5.63,26,6,4.59,3.31,18.81,2.17,-1.22,2.07,-8.14,4.09,-2.65,2,1.53,6,1,4.25,1.44,10.14,0.56,"ERG078",403,0.018762626,145.864,-16.24166667,TRUE,0.14224000275135,NA
"5189",5189,10217,"14.51.84E.16.14.50S","Opal Reef - Bashful Bommie (Back reef slope) Site 1","Pacific","Australia","Queensland","Port Douglas",2010,"3-Feb-10",6,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,301.44,302.34,299.6,294.11,306.36,2.07,2,0.11,0.88,0,-4.04,4.82,12,5.63,26,6,0,3.31,18.81,2.17,0.08,2.07,-8.14,4.09,-2.65,2,1.53,6,1,0,1.44,10.14,0.56,"ERG078",403,0.018762626,145.864,-16.24166667,TRUE,0.0430226688472893,NA
"5190",5190,10219,"145.51.50.4E.16.14.30S","Opal Reef - Bashful Bommie (Back reef slope) Site 2","Pacific","Australia","Queensland","Port Douglas",2010,"7-Feb-10",5,"Bleaching (% of population)",0,0,1,0,TRUE,"did not record fish",0.25,301.44,302.34,299.6,294.11,306.36,2.07,2,0.11,0.88,0,-4.04,4.82,12,5.63,26,6,0,3.31,18.81,2.17,0.08,2.07,-8.14,4.09,-2.65,2,1.53,6,1,0,1.44,10.14,0.56,"ERG078",403,0.018762626,145.864,-16.24166667,TRUE,0.0430226688472893,NA
"5191",5191,10221,"145.53.286E.16.10.698S","Opal Reef - Cathedrals (Back reef slope) Site 1","Pacific","Australia","Queensland","Port Douglas",2009,"14-Mar-09",5,"Bleaching (% of population)",1,5,5,5,FALSE,"",4,300.06,301.14,299.63,294.82,305.97,1.99,5,-0.3,0.88,0,-3.94,4.49,8,5.63,28,6,10.07,3.21,18.47,2.16,-1.01,1.99,-7.32,3.81,-2.51,6,1.63,6,1,8.63,1.5,8.81,0.58,"ERG078",403,0.018762626,145.8881111,-16.17830556,TRUE,0.0618500001728535,NA
"5192",5192,10223,"145.49.59E.16.50.0S","Opal Reef - SNO (South North Opal) (Back reef crest) Site 1","Pacific","Australia","Queensland","",2009,"15-Mar-09",7,"Bleaching (% of population)",1,1,1,1,FALSE,"",1,299.99,301.77,299.58,294.69,306.54,2.11,5,0.24,0.87,0,-2.88,4.98,2,5.78,30,6,3.48,3.39,19.78,2.19,-0.5,2.11,-7.57,4.26,-2.68,1,1.52,8,1,2.18,1.37,10.85,0.53,"ERG078",403,0.018762626,145.8330556,-16.25,TRUE,0.0663620010018349,NA
"5193",5193,10225,"145.49.59E.16.50.0S","Opal Reef - SNO (South North Opal) (Back reef crest) Site 1","Pacific","Australia","Queensland","",2010,"4-Feb-10",7,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,301.45,302.6,299.58,294.69,306.54,2.11,3,0.35,0.87,0,-2.88,4.98,10,5.78,30,6,0,3.39,19.78,2.19,0.33,2.11,-7.57,4.26,-2.68,1,1.52,8,1,0,1.37,10.85,0.53,"ERG078",403,0.018762626,145.8330556,-16.25,TRUE,0.0546439997851849,NA
"5194",5194,10227,"145.49.59E.16.15.0S1","Opal Reef - SNO (South North Opal) (Reef flat) Site 1","Pacific","Australia","Queensland","",2010,"5-Feb-10",1,"Bleaching (% of population)",20,15,20,15,TRUE,"did not record fish",17.5,301.45,302.6,299.58,294.69,306.54,2.11,3,0.35,0.87,0,-2.88,4.98,10,5.78,30,6,0,3.39,19.78,2.19,0.33,2.11,-7.57,4.26,-2.68,1,1.52,8,1,0,1.37,10.85,0.53,"ERG078",403,0.018762626,145.8330556,-16.25,TRUE,0.0546439997851849,NA
"5195",5195,10229,"145.52.054E.16.13.851S","Opal Reef - Split Bommie (Back reef wall) Site1","Pacific","Australia","Queensland","Port Douglas",2009,"15-Mar-09",5,"Bleaching (% of population)",5,5,5,5,FALSE,"",5,300.01,301.21,299.6,294.11,306.36,2.07,5,-0.29,0.88,0,-4.04,4.82,2,5.63,26,6,4.59,3.31,18.81,2.17,-1.05,2.07,-8.14,4.09,-2.65,2,1.53,6,1,4.25,1.44,10.14,0.56,"ERG078",403,0.018762626,145.8675556,-16.23086111,TRUE,0.14224000275135,NA
"5196",5196,10231,"145.52.054E.16.13.851S","Opal Reef - Split Bommie (Back reef wall) Site1","Pacific","Australia","Queensland","Port Douglas",2010,"6-Feb-10",5,"Bleaching (% of population)",0,0,0,0,TRUE,"did not record fish",0,301.44,302.34,299.6,294.11,306.36,2.07,2,0.11,0.88,0,-4.04,4.82,12,5.63,26,6,0,3.31,18.81,2.17,0.08,2.07,-8.14,4.09,-2.65,2,1.53,6,1,0,1.44,10.14,0.56,"ERG078",403,0.018762626,145.8675556,-16.23086111,TRUE,0.0430226688472893,NA
"5197",5197,10233,"145.52.054E.16.13.851S","Opal Reef - Split Bommie (Back reef wall) Site1","Pacific","Australia","Queensland","Port Douglas",2010,"4-Feb-10",7,"Bleaching (% of population)",0,0,0,0,FALSE,"",0,301.44,302.34,299.6,294.11,306.36,2.07,2,0.11,0.88,0,-4.04,4.82,12,5.63,26,6,0,3.31,18.81,2.17,0.08,2.07,-8.14,4.09,-2.65,2,1.53,6,1,0,1.44,10.14,0.56,"ERG078",403,0.018762626,145.8675556,-16.23086111,TRUE,0.0430226688472893,NA
"5198",5198,10235,"145.51.43E.16.14.31S","Opal Reef - The Wedge (Back reef slope) Site 1","Pacific","Australia","Queensland","",2009,"21-Mar-09",5,"Bleaching (% of population)",1,1,2,2,TRUE,"did not record fish",1.5,299.69,301.04,299.6,294.11,306.36,2.07,8,-0.22,0.88,0,-4.04,4.82,2,5.63,26,6,4.59,3.31,18.81,2.17,-1.22,2.07,-8.14,4.09,-2.65,2,1.53,6,1,4.25,1.44,10.14,0.56,"ERG078",403,0.018762626,145.8619444,-16.24194444,TRUE,0.14224000275135,NA
"5199",5199,10237,"145.51.43E.16.14.31S","Opal Reef - The Wedge (Back reef slope) Site 1","Pacific","Australia","Queensland","",2010,"2-Feb-10",5,"Bleaching (% of population)",1,0,0,0,FALSE,"",0.25,301.65,302.22,299.6,294.11,306.36,2.07,7,-0.03,0.88,0,-4.04,4.82,12,5.63,26,6,0,3.31,18.81,2.17,-0.04,2.07,-8.14,4.09,-2.65,2,1.53,6,1,0,1.44,10.14,0.56,"ERG078",403,0.018762626,145.8619444,-16.24194444,TRUE,0.0430226688472893,NA
"5200",5200,10239,"145.52.8E.16.14.8S","Opal Reef - Two Tone (Reef flat) Site 1","Pacific","Australia","Queensland","",2009,"22-Mar-09",5,"Bleaching (% of population)",1,1,1,1,FALSE,"",1,299.69,301.04,299.6,294.11,306.36,2.07,8,-0.22,0.88,0,-4.04,4.82,2,5.63,26,6,4.59,3.31,18.81,2.17,-1.22,2.07,-8.14,4.09,-2.65,2,1.53,6,1,4.25,1.44,10.14,0.56,"ERG078",403,0.018762626,145.8688889,-16.23555556,TRUE,0.14224000275135,NA
"5201",5201,10241,"145.52.8E.16.14.8S","Opal Reef - Two Tone (Reef flat) Site 1","Pacific","Australia","Queensland","",2010,"3-Feb-10",6,"Bleaching (% of population)",1,1,1,1,FALSE,"",1,301.44,302.34,299.6,294.11,306.36,2.07,2,0.11,0.88,0,-4.04,4.82,12,5.63,26,6,0,3.31,18.81,2.17,0.08,2.07,-8.14,4.09,-2.65,2,1.53,6,1,0,1.44,10.14,0.56,"ERG078",403,0.018762626,145.8688889,-16.23555556,TRUE,0.0430226688472893,NA
